iter	Logloss
0	0.6623401642
1	0.6280049515
2	0.607412262
3	0.5793835831
4	0.5525800323
5	0.530525589
6	0.5108477402
7	0.4949358749
8	0.4761075974
9	0.4612884521
10	0.4492831802
11	0.4389660645
12	0.4279883194
13	0.418379364
14	0.4072496796
15	0.3981726074
16	0.393217926
17	0.38493927
18	0.3778794098
19	0.3704965973
20	0.3638444138
21	0.3596142578
22	0.3527311707
23	0.347354126
24	0.3436514282
25	0.3388353729
26	0.3345095825
27	0.3310131836
28	0.3257334137
29	0.3222740173
30	0.3187677002
31	0.3152445602
32	0.3123713684
33	0.3094515991
34	0.3075008011
35	0.304600029
36	0.3019671249
37	0.2999895477
38	0.2965019608
39	0.2929051399
40	0.2910737991
41	0.2884112358
42	0.2858812332
43	0.2842770958
44	0.2822380066
45	0.2801374054
46	0.2782492828
47	0.2758189774
48	0.2742888641
49	0.2720333862
